t,x,y,r,u,phi
0.0,1.0,0.0,1.0,1.0,0.0
0.001,1.0000001061067179,0.0018999991796897764,1.0000019111033387,0.9999980889003136,0.001899996691762429
0.002,0.9999976031261821,0.0037999933992067464,1.0000048230923404,0.9999951769309218,0.0037999842167888613
0.003,0.9999924904715092,0.005699977700689512,1.0000087353344467,0.9999912647418586,0.005699958774693057
0.004,0.9999847680403808,0.007599947125752086,1.0000136476614148,0.9999863525248414,0.007599916565708309
0.005,0.999974435854406,0.009499896716153932,1.0000195600086805,0.9999804403739059,0.009499853790317188
0.006,0.999961493985567,0.011399821513989326,1.0000264723418064,0.9999735283589598,0.011399766649239121
0.007,0.9999459425360248,0.013299716561792647,1.0000343846362898,0.9999656165459728,0.013299651343462702
0.008,0.9999277816312951,0.015199576902624412,1.0000432968707413,0.9999567050037964,0.015199504074285723
0.009000000000000001,0.9999070114175707,0.01709939758015203,1.0000532090242107,0.9999467938068389,0.017099321043356767
0.010000000000000002,0.9998836320605394,0.018999173638728745,1.000064121075009,0.9999358830362396,0.018999098452717092
0.011000000000000003,0.9998576437448183,0.02089890012347206,1.0000760330001468,0.9999239727804309,0.020898832504842525
0.012000000000000004,0.9998290466736577,0.02279857208034183,1.0000889447750423,0.9999110631354272,0.02279851940268532
0.013000000000000005,0.9997978410687774,0.024698184556218288,1.0001028563733638,0.9998971542049816,0.02469815534971597
0.014000000000000005,0.9997640271702716,0.026597732598980003,1.0001177677669395,0.9998822461006743,0.026597736549964987
0.015000000000000006,0.9997276052365461,0.028497211257581725,1.0001336789257016,0.999866338941965,0.028497259208064625
0.016000000000000007,0.9996885755442825,0.03039661558213232,1.0001505898176555,0.9998494328562233,0.030396719529290607
0.017000000000000008,0.999646938388406,0.032295940623972515,1.0001685004088563,0.9998315279787482,0.0322961137196038
0.01800000000000001,0.9996026940820671,0.03419518143575271,1.0001874106633968,0.9998126244527789,0.03419543798569189
0.01900000000000001,0.9995558429566234,0.036094333071510706,1.0002073205433974,0.9997927224295011,0.03609468853501099
0.02000000000000001,0.9995063853616252,0.03799339058674939,1.0002282300090009,0.9997718220680507,0.03799386157582727
0.02100000000000001,0.9994543216648033,0.03989234903851432,1.000250139018367,0.9997499235355144,0.039892953317258555
0.022000000000000013,0.9993996522520562,0.0417912034854714,1.000273047527671,0.9997270270069297,0.04179195996931586
0.023000000000000013,0.9993423775274388,0.043689948987984305,1.0002969554911014,0.9997031326652837,0.043690877742944965
0.024000000000000014,0.9992824979131517,0.045588580608192014,1.0003218628608581,0.9996782407015102,0.04558970285006789
0.025000000000000015,0.9992200138495285,0.04748709341008617,1.000347769587152,0.9996523513144878,0.047488431503624404
0.026000000000000016,0.9991549257950257,0.049385482459588466,1.0003746756182053,0.9996254647110357,0.049387059917613496
0.027000000000000017,0.9990872342262104,0.05128374282462789,1.00040258090025,0.9995975811059107,0.05128558430713477
0.028000000000000018,0.9990169396377492,0.05318186957521792,1.0004314853775294,0.9995687007218026,0.05318400088842987
0.02900000000000002,0.9989440425423946,0.05507985778353368,1.0004613889922966,0.9995388237893305,0.055082305878923855
0.03000000000000002,0.9988685434709735,0.05697770252398898,1.0004922916848167,0.9995079505470374,0.05698049549726652
0.03100000000000002,0.998790442972375,0.05887539887331335,1.0005241933933655,0.9994760812413863,0.05887856596337371
0.03200000000000002,0.9987097416135353,0.06077294191062882,1.000557094054231,0.9994432161267542,0.0607765134984686
0.03300000000000002,0.998626439979426,0.06267032671752687,1.0005909936017132,0.9994093554654275,0.06267433432512291
0.03400000000000002,0.9985405386730388,0.06456754837814506,1.0006258919681255,0.9993744995275963,0.06457202466729815
0.035000000000000024,0.9984520383153718,0.06646460197924375,1.0006617890837943,0.9993386485913485,0.06646958075038675
0.036000000000000025,0.9983609395454146,0.06836148261028259,1.000698684877061,0.9993018029426642,0.06836699880125319
0.037000000000000026,0.9982672430201333,0.07025818536349701,1.000736579274281,0.99926396287541,0.07026427504827508
0.03800000000000003,0.9981709494144542,0.07215470533397458,1.0007754721998265,0.9992251286913317,0.07216140572138426
0.03900000000000003,0.9980720594212491,0.07405103761973132,1.0008153635760855,0.9991853007000492,0.07405838705210774
0.04000000000000003,0.9979705737513171,0.07594717732178774,1.0008562533234633,0.9991444792190487,0.07595521527360871
0.04100000000000003,0.9978664931333703,0.077843119544245,1.0008981413603835,0.999102664573677,0.07785188662072746
0.04200000000000003,0.9977598183140138,0.07973885939436086,1.0009410276032886,0.999059857097134,0.07974839733002224
0.04300000000000003,0.99765055005773,0.0816343919826255,1.0009849119666412,0.9990160571304656,0.08164474363981009
0.04400000000000003,0.9975386891468602,0.08352971242283723,1.001029794362924,0.9989712650225566,0.08354092179020763
0.04500000000000003,0.9974242363815856,0.08542481583217817,1.0010756747026426,0.9989254811301232,0.08543692802317181
0.046000000000000034,0.9973071925799094,0.08731969733128966,1.0011225528943242,0.9988787058177057,0.08733275858254061
0.047000000000000035,0.9971875585776364,0.08921435204434776,1.00117042884452,0.9988309394576598,0.08922840971407366
0.048000000000000036,0.9970653352283543,0.09110877509913838,1.0012193024578062,0.9987821824301499,0.0911238776654928
0.04900000000000004,0.9969405234034131,0.09300296162713258,1.0012691736367845,0.9987324351231402,0.09301915868652272
0.05000000000000004,0.9968131239919048,0.09489690676356138,1.0013200422820832,0.9986816979323867,0.09491424902893131
0.05100000000000004,0.9966831379006427,0.09679060564749084,1.0013719082923587,0.9986299712614286,0.09680914494657021
0.05200000000000004,0.9965505660541398,0.09868405342189658,1.001424771564296,0.9985772555215799,0.0987038426954151
0.05300000000000004,0.9964154093945875,0.10057724523373872,1.001478631992611,0.9985235511319207,0.1005983385336061
0.05400000000000004,0.9962776688818334,0.102470176234036,1.00153348947005,0.9984688585192878,0.10249262872148796
0.05500000000000004,0.9961373454933579,0.10436284157794036,1.001589343887392,0.9984131781182661,0.1043867095216503
0.05600000000000004,0.9959944402242531,0.10625523642481105,1.0016461951334494,0.9983565103711795,0.10628057719896777
0.057000000000000044,0.9958489540871978,0.10814735593828867,1.0017040430950697,0.9982988557280806,0.10817422802064014
0.058000000000000045,0.9957008881124351,0.11003919528636914,1.001762887657136,0.9982402146467424,0.11006765825623227
0.059000000000000045,0.9955502433477469,0.11193074964147738,1.0018227287025692,0.9981805875926475,0.11196086417771416
0.060000000000000046,0.9953970208584313,0.11382201418054097,1.0018835661123282,0.9981199750389786,0.11385384205950076
0.06100000000000005,0.9952412217272764,0.11571298408506361,1.0019453997654124,0.9980583774666086,0.1157465881784919
