t,x,y,r,u,phi
0.0,1.0,0.0,1.0,1.0,0.0
0.008845203521152123,0.999960881601225,0.009719971089309316,1.0000081212523606,0.9999918788135936,0.009720045208032803
0.017690550708690838,0.999843528830017,0.01943933959588463,1.000032484505971,0.9999675165492379,0.019439932543235634
0.026536185220096258,0.9996479489615787,0.029157502974348645,1.0000730882504487,0.9999269170910532,0.029159504157949333
0.035382250695036026,0.9993741541207452,0.0388738587540351,1.0001299299685933,0.9998700869110103,0.03887860225484722
0.04422889074646054,0.9990221612812341,0.04858780457633857,1.0002030061365426,0.9997970350665845,0.04859706911207857
0.0530762489516997,0.9985919922645925,0.058298738232057196,1.0002923122239908,0.9997077731974757,0.05831474710838469
0.061924468843561994,0.998083673738845,0.06800605769872634,1.000397842694471,0.9996023155213934,0.06803147874817864
0.07077369390143626,0.9974972372168385,0.07770916117794036,1.0005195910056959,0.9994806788289137,0.0777471066865794
0.07962406754239673,0.9968327190542906,0.08740744713266078,1.000657549609965,0.9993428824774057,0.08746147375439145
0.08847573311231212,0.996090160447535,0.09710031432450825,1.000811709954632,0.9991889483840383,0.09717442298302122
0.0973288338769589,0.9952696074309675,0.10678716185103575,1.000982062482636,0.9990189010178662,0.1068857976293205
0.10618351301313957,0.9943711108741918,0.11646738918298102,1.0011685966330919,0.998832767391005,0.11659544120034888
0.11503991359980673,0.9933947264788665,0.12614039620149625,1.001371300841947,0.9986305770488989,0.1263031974780461
0.12389817860919279,0.9923405147752522,0.1358055832353518,1.0015901625426973,0.9984123620596868,0.136008910543805
0.13275845089794666,0.9912085411184575,0.1454623510981125,1.0018251681671666,0.9981781570026776,0.14571242480293722
0.14162087319827726,0.9899988756843887,0.15511010112528353,1.002076303146347,0.9979279989559399,0.15541358500902197
0.15048558810910523,0.9887115934653995,0.16474823521142468,1.0023435519113038,0.9976619274830122,0.16511223628813074
0.15935273808722233,0.9873467742656403,0.1743761558472291,1.0026268978941382,0.9973799846187494,0.1748082241629179
0.16822246543846012,0.9859045026961124,0.18399326615656564,1.0029263235290165,0.997082214854308,0.18450139457656997
0.17709491230886762,0.9843848681694215,0.19359896993348139,1.003241810253258,0.9967686651212835,0.19419159391660412
0.18597022067589927,0.9827879648942356,0.20319267167916358,1.0035733385084866,0.9964393847750107,0.2038786690385096
0.19484853233961308,0.9811138918694444,0.2127737766388572,1.0039208877418428,0.996094425577037,0.21356246728922196
0.20372998891387972,0.9793627528780204,0.2223416908387354,1.0042844364072572,0.9957338416767819,0.2232428365304227
0.2126147318176034,0.9775346564805878,0.23189582112272372,1.0046639619667876,0.9953576895923915,0.2329196251616577
0.22150290226595468,0.9756297160086895,0.2414355751892715,1.0050594408920153,0.9949660281908054,0.24259268214326488
0.23039464126161582,0.9736480495577633,0.25096036162807167,1.005470848665504,0.9945589186670454,0.25226185701910464
0.23929008958603973,0.9715897799798191,0.2604695899567246,1.0058981597823198,0.9941364245227408,0.2619269999390853
0.2481893877907218,0.969455034875824,0.26996267065734475,1.0063413477516119,0.9936986115439062,0.27158796168147614
0.257092676188487,0.9672439465877908,0.27943901521310716,1.0068003850982556,0.9932455477779818,0.28124459367500054
0.26600009484479126,0.9649566521905748,0.2888980361447327,1.0072752433645558,0.9927773035101561,0.290896748020703
0.2749117835690376,0.9625932934833745,0.2983391470469077,1.0077658931120095,0.9922939512389845,0.3005442775135819
0.2838278819059096,0.9601540169809413,0.30776176262463834,1.0082723039231325,0.9917955656513172,0.3101870356639831
0.2927485291267199,0.9576389739044975,0.3171652987295352,1.0087944444033452,0.9912822235965557,0.31982487671874443
0.30167386422077624,0.9550483201723595,0.3265491723960276,1.0093322821829174,0.9907540040602545,0.32945765568208957
0.3106040258867651,0.952382216390274,0.33591280187750333,1.0098857839189763,0.9902109881370807,0.33908522833625937
0.3195391525241528,0.949640827841459,0.34525560668237426,1.0104549152975733,0.9896532590031547,0.3487074512618794
0.32847938222460626,0.9468243244763594,0.354577007610064,1.0110396410358111,0.9890809018877825,0.35832418185805515
0.337424852763431,0.9439328809021096,0.36387642678691334,1.011639924884031,0.9884940040446056,0.36793527836218837
0.34637570159103076,0.9409666763717088,0.373153287702007,1.0122557296280605,0.987892654722178,0.37754059986951227
0.3553320658243862,0.9379258947729093,0.3824070152429126,1.0128870170915194,0.9872769451339951,0.38714000635233653
0.36429408223855414,0.9348107246168167,0.3916370357313355,1.0135337481381888,0.9866469684279882,0.39673335867899867
0.37326188725818843,0.9316213590262008,0.40084277695868253,1.0141958826744337,0.9860028196555095,0.40632051863251706
0.3822356169490825,0.9283579957235268,0.4100236682215364,1.0148733796516927,0.985344595739818,0.41590134892893893
0.391215407009734,0.9250208370186943,0.4191791403570358,1.015566197069019,0.9846723954440941,0.42547571323538125
0.4002013927629321,0.9216100897964976,0.4283086257781601,1.0162742919756873,0.9839863193389953,0.43504347618775646
0.4091937091473686,0.9181259655037991,0.43741155850891666,1.016997620473855,0.9832864697697767,0.4446045034081824
0.41819249070927195,0.9145686801364196,0.446487374219428,1.0177361377212821,0.9825729508229968,0.45415866152207046
0.4271978715940669,0.9109384542257504,0.45553551026091793,1.0184897979341152,0.9818458682928198,0.4637058181748873
0.4362099855380576,0.9072355128250796,0.4645554057005904,1.019258554389722,0.9811053296469482,0.473245842048587
0.445228965860137,0.9034600854956406,0.47354650135640675,1.0200423594295895,0.9803514439921914,0.4827786028777123
0.45425494545352185,0.8996124062923812,0.4825082398317498,1.020841164462279,0.9795843220397005,0.49230397146515675
